Building Type,Date,"Floor Space Completed, Accumulated(10000 sq.m)",Floor Space Completed (10000 sq.m),"Floor Space Sold, Accumulated(10000 sq.m)",Floor Space Sold(10000 sq.m),Proportion
Commercialized Residential,2019/09,33084.32,,104649.72 ,,
Commercialized Residential,2019/10,38474.17,5389.85,117132.50 ,12482.78,0.43 
Commercialized Residential,2019/11,45274.19,6800.02,130805.13 ,13672.63,0.50 
Commercialized Residential,2019/12,68011.11,22736.92,150144.32 ,19339.19,1.18 
Commercialized Residential,2020/01,,,,,
Commercialized Residential,2020/02,6760.93,6760.93,7488.95 ,7488.95,0.90 
Commercialized Residential,2020/03,10927.81,4166.88,19234.77 ,11745.82,0.35 
Commercialized Residential,2020/04,13709.33,2781.52,29916.18 ,10681.41,0.26 
Commercialized Residential,2020/05,16775.43,3066.1,42941.34 ,13025.16,0.24 
Commercialized Residential,2020/06,20680.37,3904.94,61119.34 ,18178,0.21 
Commercialized Residential,2020/07,23685.14,3004.77,73838.09 ,12718.75,0.24 
Commercialized Residential,2020/08,26498.31,2813.17,87200.45 ,13362.36,0.21 
Commercialized Residential,2020/09,29597.21,3098.9,103614.21 ,16413.76,0.19 
Commercialized Residential,2020/10,35442.72,5845.51,118092.09 ,14477.88,0.40 
Commercialized Residential,2020/11,42654.98,7212.26,133307.31 ,15215.22,0.47 
Commercialized Residential,2020/12,65910.03,23255.05,154878.47 ,21571.16,1.08 
Commercialized Residential,2021/01,,,,,
Commercialized Residential,2021/02,9862.01,9862.01,15609.34 ,15609.34,0.63 
Commercialized Residential,2021/03,13887.57,4025.56,32331.64 ,16722.3,0.24 
Commercialized Residential,2021/04,16551.23,2663.66,45203.14 ,12871.5,0.21 
Commercialized Residential,2021/05,19880.26,3329.03,59693.00 ,14489.86,0.23 
Commercialized Residential,2021/06,26253.82,6373.56,79081.42 ,19388.42,0.33 
Commercialized Residential,2021/07,30125.2,3871.38,90597.93 ,11516.51,0.34 
Commercialized Residential,2021/08,33771.05,3645.85,101606.71 ,11008.78,0.33 
Commercialized Residential,2021/09,36816.18,3045.13,115431.87 ,13825.16,0.22 
Commercialized Residential,2021/10,41415.46,4599.28,126419.25 ,10987.38,0.42 
Commercialized Residential,2021/11,49582.28,8166.82,139156.19 ,12736.94,0.64 
Commercialized Residential,2021/12,73016.2,23433.92,156532.17 ,17375.98,1.35 
Commercialized Residential,2022/01,,,,,
Commercialized Residential,2022/02,8914.78,8914.78,13462.26 ,13462.26,0.66 
Commercialized Residential,2022/03,12322.65,3407.87,26304.59 ,12842.33,0.27 
Commercialized Residential,2022/04,14661.72,2339.07,33721.72 ,7417.13,0.32 
Commercialized Residential,2022/05,17049.73,2388.01,42902.60 ,9180.88,0.26 
Commercialized Residential,2022/06,20858.26,3808.53,58056.89 ,15154.29,0.25 
Commercialized Residential,2022/07,23279.5,2421.24,66087.03 ,8030.14,0.30 
Commercialized Residential,2022/08,26737.46,3457.96,74402.56 ,8315.53,0.42 
Houses for Business Use,2019/09,5532.58,,7002.39 ,,
Houses for Business Use,2019/10,6336.17,803.59,7776.61 ,774.22,1.04 
