"Floor Space Completed, Accumulated(10000 sq.m)",Province,Date,Building Type,"Floor Space Sold, Accumulated(10000 sq.m)",Floor Space Completed (10000 sq.m),Floor Space Sold(10000 sq.m),Proportion
48.27,Anhui,2020/02,Commercialized Buildings Sold,481.07,,,
127.9,Anhui,2020/03,Commercialized Buildings Sold,1355.77,79.63,874.7,0.091036927
185.86,Anhui,2020/04,Commercialized Buildings Sold,2088.9,57.96,733.13,0.079058284
268.16,Anhui,2020/05,Commercialized Buildings Sold,2882.55,82.3,793.65,0.103698104
398.59,Anhui,2020/06,Commercialized Buildings Sold,4075.96,130.43,1193.41,0.109291861
467.78,Anhui,2020/07,Commercialized Buildings Sold,4850.66,69.19,774.7,0.089311992
522.75,Anhui,2020/08,Commercialized Buildings Sold,5675.79,54.97,825.13,0.066619805
616.1,Anhui,2020/09,Commercialized Buildings Sold,6612.86,93.35,937.07,0.099619025
674.71,Anhui,2020/10,Commercialized Buildings Sold,7428.01,58.61,815.15,0.071900877
765.37,Anhui,2020/11,Commercialized Buildings Sold,8270.7,90.66,842.69,0.107584046
927.67,Anhui,2020/12,Commercialized Buildings Sold,9534.13,162.3,1263.43,0.128459828
,Anhui,2021/01,Commercialized Buildings Sold,,,,
100.44,Anhui,2021/02,Commercialized Buildings Sold,1236.7,,,
208.28,Anhui,2021/03,Commercialized Buildings Sold,2438.96,107.84,1202.26,0.089697736
273.21,Anhui,2021/04,Commercialized Buildings Sold,3294.85,64.93,855.89,0.075862552
353.87,Anhui,2021/05,Commercialized Buildings Sold,4297,80.66,1002.15,0.080486953
463.76,Anhui,2021/06,Commercialized Buildings Sold,5609.97,109.89,1312.97,0.083695743
532.45,Anhui,2021/07,Commercialized Buildings Sold,6373.11,68.69,763.14,0.090009697
600.8,Anhui,2021/08,Commercialized Buildings Sold,7166.04,68.35,792.93,0.086199286
699.07,Anhui,2021/09,Commercialized Buildings Sold,8100.1,98.27,934.06,0.105207374
766.65,Anhui,2021/10,Commercialized Buildings Sold,8710.96,67.58,610.86,0.110630914
930.86,Anhui,2021/11,Commercialized Buildings Sold,9503.58,164.21,792.62,0.207173677
1077.65,Anhui,2021/12,Commercialized Buildings Sold,10460.9,146.79,957.32,0.153334308
,Anhui,2022/01,Commercialized Buildings Sold,,,,
187.55,Anhui,2022/02,Commercialized Buildings Sold,1112.29,,,
362.09,Anhui,2022/03,Commercialized Buildings Sold,2049.01,174.54,936.72,0.186331027
470.12,Anhui,2022/04,Commercialized Buildings Sold,2536.06,108.03,487.05,0.221804743
558.2,Anhui,2022/05,Commercialized Buildings Sold,3136.26,88.08,600.2,0.146751083
758.98,Anhui,2022/06,Commercialized Buildings Sold,4269.32,200.78,1133.06,0.17720156
825.74,Anhui,2022/07,Commercialized Buildings Sold,4823.39,66.76,554.07,0.120490191
882.77,Anhui,2022/08,Commercialized Buildings Sold,5309.65,57.03,486.26,0.117282935
30.75,Anhui,2020/02,Commercialized Residential Buildings Sold,439.8,,,
84.57,Anhui,2020/03,Commercialized Residential Buildings Sold,1239.6,53.82,799.8,0.067291823
127.14,Anhui,2020/04,Commercialized Residential Buildings Sold,1921,42.57,681.4,0.062474318
191.87,Anhui,2020/05,Commercialized Residential Buildings Sold,2642.31,64.73,721.31,0.089739502
277.12,Anhui,2020/06,Commercialized Residential Buildings Sold,3716.82,85.25,1074.51,0.079338489
319.3,Anhui,2020/07,Commercialized Residential Buildings Sold,4413.34,42.18,696.52,0.060558204
360.17,Anhui,2020/08,Commercialized Residential Buildings Sold,5174.16,40.87,760.82,0.053718357
435.06,Anhui,2020/09,Commercialized Residential Buildings Sold,6045.89,74.89,871.73,0.085909628
478.41,Anhui,2020/10,Commercialized Residential Buildings Sold,6805.37,43.35,759.48,0.057078527
545.31,Anhui,2020/11,Commercialized Residential Buildings Sold,7575.25,66.9,769.88,0.086896659
664.05,Anhui,2020/12,Commercialized Residential Buildings Sold,8695.35,118.74,1120.1,0.106008392
,Anhui,2021/01,Commercialized Residential Buildings Sold,,,,
77.53,Anhui,2021/02,Commercialized Residential Buildings Sold,1165.93,,,
158.63,Anhui,2021/03,Commercialized Residential Buildings Sold,2292.81,81.1,1126.88,0.071968621
206.64,Anhui,2021/04,Commercialized Residential Buildings Sold,3089.91,48.01,797.1,0.060230837
271.62,Anhui,2021/05,Commercialized Residential Buildings Sold,4034.83,64.98,944.92,0.068767726
348.69,Anhui,2021/06,Commercialized Residential Buildings Sold,5219.32,77.07,1184.49,0.065065978
402.49,Anhui,2021/07,Commercialized Residential Buildings Sold,5925.35,53.8,706.03,0.076200728
455.07,Anhui,2021/08,Commercialized Residential Buildings Sold,6650.54,52.58,725.19,0.072505137
531.75,Anhui,2021/09,Commercialized Residential Buildings Sold,7490.03,76.68,839.49,0.091341171
574.5,Anhui,2021/10,Commercialized Residential Buildings Sold,8039.5,42.75,549.47,0.077802246
683.35,Anhui,2021/11,Commercialized Residential Buildings Sold,8691.69,108.85,652.19,0.166899216
773.41,Anhui,2021/12,Commercialized Residential Buildings Sold,9507.67,90.06,815.98,0.110370352
,Anhui,2022/01,Commercialized Residential Buildings Sold,,,,
134.91,Anhui,2022/02,Commercialized Residential Buildings Sold,989.69,,,
263.68,Anhui,2022/03,Commercialized Residential Buildings Sold,1788.27,128.77,798.58,0.161248716
336.17,Anhui,2022/04,Commercialized Residential Buildings Sold,2192.01,72.49,403.74,0.179546243
