Building Type,Date,Total Sale accumulate(100 million yuan),Total Sale (100 million yuan)
Commercialized Buildings Sold,2019/09,111491.29,
Commercialized Buildings Sold,2019/10,124417.24,12925.95
Commercialized Buildings Sold,2019/11,139005.78,14588.54
Commercialized Buildings Sold,2019/12,159725.12,20719.34
Commercialized Buildings Sold,2020/01,,
Commercialized Buildings Sold,2020/02,8203.47,8203.47
Commercialized Buildings Sold,2020/03,20364.86,12161.39
Commercialized Buildings Sold,2020/04,31863.09,11498.23
Commercialized Buildings Sold,2020/05,46269.48,14406.39
Commercialized Buildings Sold,2020/06,66894.57,20625.09
Commercialized Buildings Sold,2020/07,81422.03,14527.46
Commercialized Buildings Sold,2020/08,96942.54,15520.51
Commercialized Buildings Sold,2020/09,115647.29,18704.75
Commercialized Buildings Sold,2020/10,131665.09,16017.8
Commercialized Buildings Sold,2020/11,148968.73,17303.64
Commercialized Buildings Sold,2020/12,173612.66,24643.93
Commercialized Buildings Sold,2021/01,,
Commercialized Buildings Sold,2021/02,19150.74,19150.74
Commercialized Buildings Sold,2021/03,38377.79,19227.05
Commercialized Buildings Sold,2021/04,53609.15,15231.36
Commercialized Buildings Sold,2021/05,70533.7,16924.55
Commercialized Buildings Sold,2021/06,92931.31,22397.61
Commercialized Buildings Sold,2021/07,106430.43,13499.12
Commercialized Buildings Sold,2021/08,119046.86,12616.43
Commercialized Buildings Sold,2021/09,134794.93,15748.07
Commercialized Buildings Sold,2021/10,147184.66,12389.73
Commercialized Buildings Sold,2021/11,161666.7,14482.04
Commercialized Buildings Sold,2021/12,181929.95,20263.25
Commercialized Buildings Sold,2022/01,,
Commercialized Buildings Sold,2022/02,15458.67,15458.67
Commercialized Buildings Sold,2022/03,29654.6,14195.93
Commercialized Buildings Sold,2022/04,37789.4,8134.8
Commercialized Buildings Sold,2022/05,48336.6,10547.2
Commercialized Buildings Sold,2022/06,66072.38,17735.78
Commercialized Buildings Sold,2022/07,75763,9690.62
Commercialized Buildings Sold,2022/08,85869.52,10106.52
Commercialized Residential Buildings Sold,2019/09,97496.55,
Commercialized Residential Buildings Sold,2019/10,108947.77,11451.22
Commercialized Residential Buildings Sold,2019/11,121705.86,12758.09
Commercialized Residential Buildings Sold,2019/12,139439.97,17734.11
Commercialized Residential Buildings Sold,2020/01,,
Commercialized Residential Buildings Sold,2020/02,7197.59,7197.59
Commercialized Residential Buildings Sold,2020/03,17934.36,10736.77
Commercialized Residential Buildings Sold,2020/04,28290.63,10356.27
Commercialized Residential Buildings Sold,2020/05,41249.79,12959.16
Commercialized Residential Buildings Sold,2020/06,59633.44,18383.65
Commercialized Residential Buildings Sold,2020/07,72686.46,13053.02
Commercialized Residential Buildings Sold,2020/08,86769.37,14082.91
Commercialized Residential Buildings Sold,2020/09,103497.4,16728.03
Commercialized Residential Buildings Sold,2020/10,117923.06,14425.66
Commercialized Residential Buildings Sold,2020/11,133246.8,15323.74
Commercialized Residential Buildings Sold,2020/12,154566.96,21320.16
Commercialized Residential Buildings Sold,2021/01,,
Commercialized Residential Buildings Sold,2021/02,17526.31,17526.31
Commercialized Residential Buildings Sold,2021/03,35055.38,17529.07
Commercialized Residential Buildings Sold,2021/04,49009.68,13954.3
Commercialized Residential Buildings Sold,2021/05,64570.35,15560.67
Commercialized Residential Buildings Sold,2021/06,84632.72,20062.37
Commercialized Residential Buildings Sold,2021/07,96746.61,12113.89
Commercialized Residential Buildings Sold,2021/08,108061.55,11314.94
Commercialized Residential Buildings Sold,2021/09,121957.26,13895.71
Commercialized Residential Buildings Sold,2021/10,132902.15,10944.89
Commercialized Residential Buildings Sold,2021/11,145597.34,12695.19
Commercialized Residential Buildings Sold,2021/12,162729.9,17132.56
Commercialized Residential Buildings Sold,2022/01,,
Commercialized Residential Buildings Sold,2022/02,13652.36,13652.36
Commercialized Residential Buildings Sold,2022/03,26072.56,12420.2
Commercialized Residential Buildings Sold,2022/04,33248.49,7175.93
Commercialized Residential Buildings Sold,2022/05,42317.29,9068.8
Commercialized Residential Buildings Sold,2022/06,57682.71,15365.42
Commercialized Residential Buildings Sold,2022/07,66328.47,8645.76
Commercialized Residential Buildings Sold,2022/08,75287.83,8959.36
Houses for Business Use Sold,2019/09,7724.84,
Houses for Business Use Sold,2019/10,8559.3,834.46
Houses for Business Use Sold,2019/11,9564.97,1005.67
Houses for Business Use Sold,2019/12,11141.39,1576.42
