Province,Date,Total Sale accumulate(100 million yuan),Total Sale (100 million yuan),Building Type
Anhui,2020/02,349.21,,Commercialized Buildings Sold
Anhui,2020/02,318.6,,Commercialized Residential Buildings Sold
Anhui,2020/03,962.31,613.1,Commercialized Buildings Sold
Anhui,2020/03,878.67,560.07,Commercialized Residential Buildings Sold
Anhui,2020/04,1520.78,558.47,Commercialized Buildings Sold
Anhui,2020/04,1399.35,520.68,Commercialized Residential Buildings Sold
Anhui,2020/05,2135.25,614.47,Commercialized Buildings Sold
Anhui,2020/05,1961.57,562.22,Commercialized Residential Buildings Sold
Anhui,2020/06,3189.82,1054.57,Commercialized Buildings Sold
Anhui,2020/06,2930.73,969.16,Commercialized Residential Buildings Sold
Anhui,2020/07,3750.84,561.02,Commercialized Buildings Sold
Anhui,2020/07,3438.36,507.63,Commercialized Residential Buildings Sold
Anhui,2020/08,4417.5,666.66,Commercialized Buildings Sold
Anhui,2020/08,4065.27,626.91,Commercialized Residential Buildings Sold
Anhui,2020/09,5148.5,731,Commercialized Buildings Sold
Anhui,2020/09,4750.3,685.03,Commercialized Residential Buildings Sold
Anhui,2020/10,5790.95,642.45,Commercialized Buildings Sold
Anhui,2020/10,5347.25,596.95,Commercialized Residential Buildings Sold
Anhui,2020/11,6413.09,622.14,Commercialized Buildings Sold
Anhui,2020/11,5926.92,579.67,Commercialized Residential Buildings Sold
Anhui,2020/12,7346.15,933.06,Commercialized Buildings Sold
Anhui,2020/12,6760.86,833.94,Commercialized Residential Buildings Sold
Anhui,2021/01,,,Commercialized Buildings Sold
Anhui,2021/01,,,Commercialized Residential Buildings Sold
Anhui,2021/02,1014.75,,Commercialized Buildings Sold
Anhui,2021/02,961.24,,Commercialized Residential Buildings Sold
Anhui,2021/03,1975.9,961.15,Commercialized Buildings Sold
Anhui,2021/03,1873.95,912.71,Commercialized Residential Buildings Sold
Anhui,2021/04,2735.37,759.47,Commercialized Buildings Sold
Anhui,2021/04,2591.37,717.42,Commercialized Residential Buildings Sold
Anhui,2021/05,3503.9,768.53,Commercialized Buildings Sold
Anhui,2021/05,3320.12,728.75,Commercialized Residential Buildings Sold
Anhui,2021/06,4446.98,943.08,Commercialized Buildings Sold
Anhui,2021/06,4184.34,864.22,Commercialized Residential Buildings Sold
Anhui,2021/07,5063.56,616.58,Commercialized Buildings Sold
Anhui,2021/07,4760.37,576.03,Commercialized Residential Buildings Sold
Anhui,2021/08,5658.78,595.22,Commercialized Buildings Sold
Anhui,2021/08,5313.96,553.59,Commercialized Residential Buildings Sold
Anhui,2021/09,6408.56,749.78,Commercialized Buildings Sold
Anhui,2021/09,5997.44,683.48,Commercialized Residential Buildings Sold
Anhui,2021/10,6863.98,455.42,Commercialized Buildings Sold
Anhui,2021/10,6408.15,410.71,Commercialized Residential Buildings Sold
Anhui,2021/11,7431.65,567.67,Commercialized Buildings Sold
Anhui,2021/11,6902.3,494.15,Commercialized Residential Buildings Sold
Anhui,2021/12,8143.19,711.54,Commercialized Buildings Sold
Anhui,2021/12,7514.62,612.32,Commercialized Residential Buildings Sold
Anhui,2022/01,,,Commercialized Buildings Sold
